ustt,utc,lon,lat,height
1288009731,1.69512378600006E+018,54524391,514126628,64784
1288509731,1.69512378650006E+018,54524883,514126715,64764
1289009694,1.69512378700007E+018,54525356,514126810,64848
1289509694,1.69512378750007E+018,54525812,514126885,64964
1290009657,1.69512378800007E+018,54526248,514126962,64967
1290509658,1.69512378850007E+018,54526647,514127031,64943
1291009620,1.69512378900007E+018,54527016,514127095,64892
1291509621,1.69512378950007E+018,54527342,514127159,64799
1292009584,1.69512379000007E+018,54527634,514127213,64646
1292509584,1.69512379050007E+018,54527901,514127264,64556
1293009547,1.69512379100007E+018,54528145,514127312,64493
1293509547,1.69512379150007E+018,54528355,514127357,64483
1294009510,1.69512379200007E+018,54528538,514127392,64471
1294509511,1.69512379250007E+018,54528703,514127424,64478
1295009473,1.69512379300007E+018,54528863,514127445,64533
1295509474,1.69512379350007E+018,54529020,514127459,64605
1296009436,1.69512379400007E+018,54529162,514127490,64635
1296509437,1.69512379450007E+018,54529303,514127504,64614
1297009400,1.69512379500008E+018,54529436,514127533,64699
1297509400,1.69512379550008E+018,54529577,514127556,64820
1298009363,1.69512379600008E+018,54529708,514127572,64761
1298509364,1.69512379650008E+018,54529832,514127602,64689
1299009326,1.69512379700008E+018,54529966,514127620,64681
1299509327,1.69512379750008E+018,54530101,514127639,64718
1300009290,1.69512379800008E+018,54530236,514127666,64815
1300509291,1.69512379850008E+018,54530375,514127691,64933
1301009254,1.69512379900008E+018,54530508,514127710,65040
1301509254,1.69512379950008E+018,54530614,514127726,65038
1302009217,1.69512380000008E+018,54530712,514127737,65127
1302509218,1.69512380050008E+018,54530793,514127755,65079
1303009180,1.69512380100008E+018,54530880,514127763,65209
1303509181,1.69512380150008E+018,54530966,514127774,65269
1304009143,1.69512380200008E+018,54531033,514127783,65167
1304509144,1.69512380250008E+018,54531092,514127791,65185
1305009107,1.69512380300009E+018,54531148,514127797,65103
1305509107,1.69512380350009E+018,54531207,514127812,65005
1306009070,1.69512380400009E+018,54531283,514127826,64939
1306509071,1.69512380450009E+018,54531373,514127840,65117
1307009033,1.69512380500009E+018,54531451,514127857,65221
1307509034,1.69512380550009E+018,54531521,514127874,65364
1308008996,1.69512380600009E+018,54531582,514127902,65556
1308508997,1.69512380650009E+018,54531640,514127932,65643
1309008960,1.69512380700009E+018,54531704,514127963,65886
1309508960,1.69512380750009E+018,54531748,514127995,66100
1310008923,1.69512380800009E+018,54531775,514128044,66148
1310508924,1.69512380850009E+018,54531805,514128094,66174
1311008886,1.69512380900009E+018,54531823,514128151,66206
1311508887,1.69512380950009E+018,54531823,514128220,66236
1312008849,1.69512381000009E+018,54531819,514128288,66338
1312508850,1.69512381050009E+018,54531807,514128371,66309
1313008813,1.6951238110001E+018,54531793,514128484,66376
1313508813,1.6951238115001E+018,54531771,514128629,66427
1314008776,1.6951238120001E+018,54531755,514128785,66527
1314508777,1.6951238125001E+018,54531742,514128971,66599
1315008739,1.6951238130001E+018,54531721,514129187,66560
1315508740,1.6951238135001E+018,54531671,514129419,66551
1316008703,1.6951238140001E+018,54531606,514129665,66542
1316508703,1.6951238145001E+018,54531539,514129915,66410
1317008666,1.6951238150001E+018,54531473,514130151,66241
1317508667,1.6951238155001E+018,54531389,514130387,66118
1318008629,1.6951238160001E+018,54531292,514130604,66111
1318508630,1.6951238165001E+018,54531193,514130809,66188
1319008593,1.6951238170001E+018,54531089,514130998,66287
1319508593,1.6951238175001E+018,54531002,514131175,66321
1320008556,1.6951238180001E+018,54530927,514131332,66417
1320508556,1.69512381850011E+018,54530858,514131469,66466
1321008519,1.69512381900011E+018,54530792,514131589,66576
1321508520,1.69512381950011E+018,54530741,514131696,66607
1322008482,1.69512382000011E+018,54530695,514131794,66583
1322508483,1.69512382050011E+018,54530654,514131887,66595
1323008446,1.69512382100011E+018,54530611,514131975,66606
1323508446,1.69512382150011E+018,54530551,514132070,66554
1324008409,1.69512382200011E+018,54530463,514132184,66526
1324508410,1.69512382250011E+018,54530308,514132310,66397
1325008372,1.69512382300011E+018,54530051,514132427,66331
1325508373,1.69512382350011E+018,54529687,514132510,66273
1326008336,1.69512382400011E+018,54529234,514132544,66297
1326508336,1.69512382450011E+018,54528714,514132537,66306
1327008299,1.69512382500011E+018,54528135,514132501,66314
1327508300,1.69512382550011E+018,54527507,514132432,66178
1328008262,1.69512382600012E+018,54526834,514132335,65970
1328508263,1.69512382650012E+018,54526125,514132219,65715
1329008226,1.69512382700012E+018,54525368,514132096,65556
1329508226,1.69512382750012E+018,54524582,514131965,65419
1330008189,1.69512382800012E+018,54523776,514131829,65310
1330508190,1.69512382850012E+018,54522948,514131684,65201
1331008152,1.69512382900012E+018,54522107,514131534,65124
1331508153,1.69512382950012E+018,54521256,514131385,65109
1332008116,1.69512383000012E+018,54520394,514131235,65079
1332508116,1.69512383050012E+018,54519524,514131082,65007
1333008079,1.69512383100012E+018,54518645,514130924,64894
1333508080,1.69512383150012E+018,54517756,514130767,64779
1334008042,1.69512383200012E+018,54516854,514130610,64650
1334508043,1.69512383250012E+018,54515948,514130457,64518
1335008006,1.69512383300012E+018,54515042,514130301,64429
1335508006,1.69512383350012E+018,54514131,514130145,64322
1336007969,1.69512383400013E+018,54513213,514129987,64192
1336507970,1.69512383450013E+018,54512293,514129825,64069
1337007932,1.69512383500013E+018,54511366,514129661,64024
1337507933,1.69512383550013E+018,54510439,514129498,63917
1338007896,1.69512383600013E+018,54509516,514129335,63809
1338507896,1.69512383650013E+018,54508603,514129168,63803
1339007859,1.69512383700013E+018,54507715,514129011,63911
1339507860,1.69512383750013E+018,54506868,514128864,63900
1340007822,1.69512383800013E+018,54506068,514128719,63946
1340507823,1.69512383850013E+018,54505328,514128583,63840
1341007786,1.69512383900013E+018,54504663,514128456,63808
1341507786,1.69512383950013E+018,54504084,514128336,63708
1342007749,1.69512384000013E+018,54503583,514128181,63192
1342507750,1.69512384050013E+018,54503154,514128000,63218
1343007712,1.69512384100013E+018,54502808,514127758,63149
1343507713,1.69512384150014E+018,54502616,514127482,63287
1344007676,1.69512384200014E+018,54502497,514127176,63086
1344507676,1.69512384250014E+018,54502489,514126859,62903
1345007639,1.69512384300014E+018,54502566,514126542,62823
1345507640,1.69512384350014E+018,54502681,514126236,62912
1346007602,1.69512384400014E+018,54502808,514125938,62932
1346507603,1.69512384450014E+018,54502942,514125637,62952
1347007566,1.69512384500014E+018,54503077,514125331,62960
1347507567,1.69512384550014E+018,54503221,514125028,62942
1348007529,1.69512384600014E+018,54503373,514124719,63126
1348507530,1.69512384650014E+018,54503525,514124378,63074
1349007493,1.69512384700014E+018,54503684,514124027,63081
1349507493,1.69512384750014E+018,54503854,514123653,62983
1350007456,1.69512384800014E+018,54504023,514123253,62966
1350507457,1.69512384850015E+018,54504206,514122837,62940
1351007419,1.69512384900015E+018,54504386,514122407,62939
1351507420,1.69512384950015E+018,54504587,514121957,62868
1352007383,1.69512385000015E+018,54504795,514121493,62802
1352507383,1.69512385050015E+018,54504996,514121011,62838
1353007346,1.69512385100015E+018,54505202,514120515,62789
1353507347,1.69512385150015E+018,54505401,514120007,62691
1354007309,1.69512385200015E+018,54505608,514119486,62727
1354507310,1.69512385250015E+018,54505809,514118955,62650
1355007273,1.69512385300015E+018,54506029,514118421,62681
1355507273,1.69512385350015E+018,54506256,514117879,62555
1356007236,1.69512385400015E+018,54506500,514117333,62412
1356507237,1.69512385450015E+018,54506748,514116786,62561
1357007199,1.69512385500015E+018,54506990,514116242,62905
1357507200,1.69512385550015E+018,54507249,514115680,62915
1358007163,1.69512385600016E+018,54507508,514115123,62946
1358507163,1.69512385650016E+018,54507764,514114559,62943
1359007126,1.69512385700016E+018,54508020,514113992,62990
1359507127,1.69512385750016E+018,54508274,514113423,63006
1360007089,1.69512385800016E+018,54508516,514112849,63038
1360507090,1.69512385850016E+018,54508771,514112275,62913
1361007053,1.69512385900016E+018,54509039,514111698,62734
1361507053,1.69512385950016E+018,54509292,514111133,62734
1362007016,1.69512386000016E+018,54509539,514110570,62717
1362507017,1.69512386050016E+018,54509795,514110010,62699
1363006980,1.69512386100016E+018,54510047,514109480,62940
1363506980,1.69512386150016E+018,54510286,514108953,63034
1364006943,1.69512386200016E+018,54510527,514108425,63066
1364506944,1.69512386250016E+018,54510755,514107921,63168
1365006906,1.69512386300016E+018,54510973,514107430,63304
1365506907,1.69512386350017E+018,54511179,514106950,63421
1366006870,1.69512386400017E+018,54511382,514106462,63443
1366506870,1.69512386450017E+018,54511598,514105981,63551
1367006833,1.69512386500017E+018,54511825,514105500,63724
1367506834,1.69512386550017E+018,54512056,514105011,63712
1368006796,1.69512386600017E+018,54512285,514104515,63672
1368506797,1.69512386650017E+018,54512518,514104019,63754
1369006760,1.69512386700017E+018,54512753,514103521,63878
1369506760,1.69512386750017E+018,54512983,514103007,63848
1370006723,1.69512386800017E+018,54513211,514102492,63779
1370506724,1.69512386850017E+018,54513438,514101984,63895
1371006686,1.69512386900017E+018,54513669,514101456,63806
1371506687,1.69512386950017E+018,54513895,514100942,63907
1372006650,1.69512387000017E+018,54514114,514100438,64004
1372506651,1.69512387050018E+018,54514340,514099929,63979
